Player,Age,Squad,Height,Weight,Foot,Value
V. van Dijk CB,31,"Liverpool
2018 ~ 2025","193cm / 6'4""",92kg / 203lbs,Right,€70.5M
Rúben Dias CB,26,"Manchester City
2020 ~ 2027","187cm / 6'2""",82kg / 181lbs,Right,€106.5M
Marquinhos CB,29,"Paris Saint Germain
2013 ~ 2028","183cm / 6'0""",75kg / 165lbs,Right,€73.5M
R. Araujo CB RB,24,"FC Barcelona
2018 ~ 2026","188cm / 6'2""",79kg / 174lbs,Right,€93M
Éder Militão CB,25,"Real Madrid
2019 ~ 2028","186cm / 6'1""",78kg / 172lbs,Right,€80M
J. Stones CB CDM RB,29,"Manchester City
2016 ~ 2026","188cm / 6'2""",76kg / 168lbs,Right,€49.5M
A. Bastoni CB,24,"Inter
2017 ~ 2028","190cm / 6'3""",75kg / 165lbs,Left,€73.5M
J. Koundé CB RB,24,"FC Barcelona
2022 ~ 2027","180cm / 5'11""",75kg / 165lbs,Right,€69.5M
D. Alaba CB LB,31,"Real Madrid
2021 ~ 2026","180cm / 5'11""",78kg / 172lbs,Left,€37M
A. Rüdiger CB,30,"Real Madrid
2022 ~ 2026","190cm / 6'3""",86kg / 190lbs,Right,€44M
Gabriel CB,25,"Arsenal
2020 ~ 2027","190cm / 6'3""",87kg / 192lbs,Left,€47M
W. Saliba CB,22,"Arsenal
2019 ~ 2027","193cm / 6'4""",85kg / 187lbs,Right,€58.5M
Thiago Silva CB,38,"Chelsea
2020 ~ 2024","183cm / 6'0""",79kg / 174lbs,Right,€7.5M
L. Martínez CB,25,"Manchester United
2022 ~ 2027","178cm / 5'10""",77kg / 170lbs,Left,€49.5M
L. Hernández LB CB,27,"Paris Saint Germain
2023 ~ 2028","184cm / 6'0""",79kg / 174lbs,Left,€40.5M
M. de Ligt CB,23,"FC Bayern München
2022 ~ 2027","189cm / 6'2""",89kg / 196lbs,Right,€57.5M
Kim Min Jae CB,26,"FC Bayern München
2023 ~ 2028","190cm / 6'3""",86kg / 190lbs,Right,€46M
M. Hummels CB,34,"Borussia Dortmund
2019 ~ 2024","191cm / 6'3""",94kg / 207lbs,Right,€13.5M
Bremer CB,26,"Juventus
2022 ~ 2027","188cm / 6'2""",82kg / 181lbs,Right,€49M
F. Tomori CB,25,"Milan
2021 ~ 2027","185cm / 6'1""",79kg / 174lbs,Right,€52.5M
C. Smalling CB,33,"Roma
2020 ~ 2025","194cm / 6'4""",81kg / 179lbs,Right,€20M
A. Tchouaméni CDM CM CB,23,"Real Madrid
2022 ~ 2028","188cm / 6'2""",82kg / 181lbs,Right,€58.5M
Pau Torres CB,26,"Aston Villa
2023 ~ 2028","191cm / 6'3""",80kg / 176lbs,Left,€42M
R. Varane CB,30,"Manchester United
2021 ~ 2024","191cm / 6'3""",81kg / 179lbs,Right,€30M
S. Botman CB,23,"Newcastle United
2022 ~ 2027","193cm / 6'4""",81kg / 179lbs,Left,€47M
C. Romero CB,25,"Tottenham Hotspur
2022 ~ 2027","185cm / 6'1""",79kg / 174lbs,Right,€45.5M
M. Škriniar CB,28,"Paris Saint Germain
2023 ~ 2028","188cm / 6'2""",80kg / 176lbs,Right,€31.5M
D. Upamecano CB,24,"FC Bayern München
2021 ~ 2026","186cm / 6'1""",90kg / 198lbs,Right,€44.5M
N. Süle CB RB,27,"Borussia Dortmund
2022 ~ 2026","195cm / 6'5""",99kg / 218lbs,Right,€38.5M
M. Ginter CB,29,"SC Freiburg
2022 ~ 2026","189cm / 6'2""",87kg / 192lbs,Right,€30.5M
J. Tah CB,27,"Bayer 04 Leverkusen
2015 ~ 2025","195cm / 6'5""",94kg / 207lbs,Right,€36.5M
W. Orban CB,30,"RB Leipzig
2015 ~ 2027","186cm / 6'1""",87kg / 192lbs,Right,€30M
F. Acerbi CB,35,"Inter
2023 ~ 2025","192cm / 6'4""",88kg / 194lbs,Left,€9.5M
F. Dimarco LWB LM CB,25,"Inter
2018 ~ 2026","175cm / 5'9""",75kg / 165lbs,Left,€42M
B. Pavard CB RB,27,"Inter
2023 ~ 2028","186cm / 6'1""",81kg / 179lbs,Right,€36.5M
A. Romagnoli CB,28,"Lazio
2022 ~ 2027","185cm / 6'1""",75kg / 165lbs,Left,€31.5M
G. Mancini CB,27,"Roma
2020 ~ 2027","190cm / 6'3""",77kg / 170lbs,Right,€38.5M
J. Giménez CB,28,"Atlético Madrid
2013 ~ 2025","185cm / 6'1""",79kg / 174lbs,Right,€34.5M
A. Christensen CB CDM,27,"FC Barcelona
2022 ~ 2026","187cm / 6'2""",82kg / 181lbs,Right,€38.5M
Nacho Fernández CB LB RB,33,"Real Madrid
2010 ~ 2024","180cm / 5'11""",76kg / 168lbs,Right,€17.5M
Sergio Ramos CB,37,"Sevilla
2023 ~ 2024","184cm / 6'0""",82kg / 181lbs,Right,€6.5M
I. Konaté CB,24,"Liverpool
2021 ~ 2026","194cm / 6'4""",95kg / 209lbs,Right,€41.5M
N. Aké CB LB,28,"Manchester City
2020 ~ 2027","180cm / 5'11""",75kg / 165lbs,Left,€29M
M. Akanji CB,27,"Manchester City
2022 ~ 2027","187cm / 6'2""",91kg / 201lbs,Right,€30.5M
J. Gvardiol CB LB,21,"Manchester City
2023 ~ 2028","185cm / 6'1""",80kg / 176lbs,Left,€44.5M
L. Shaw LB CB,27,"Manchester United
2014 ~ 2027","181cm / 5'11""",75kg / 165lbs,Left,€29.5M
F. Schär CB,31,"Newcastle United
2018 ~ 2025","188cm / 6'2""",84kg / 185lbs,Right,€21M
E. Can CDM CB,29,"Borussia Dortmund
2020 ~ 2026","186cm / 6'1""",86kg / 190lbs,Right,€26M
N. Schlotterbeck CB,23,"Borussia Dortmund
2022 ~ 2027","191cm / 6'3""",86kg / 190lbs,Left,€39.5M
S. de Vrij CB,31,"Inter
2018 ~ 2025","189cm / 6'2""",78kg / 172lbs,Right,€21M
Mario Hermoso CB,28,"Atlético Madrid
2019 ~ 2024","184cm / 6'0""",76kg / 168lbs,Left,€29M
Iñigo Martínez CB,32,"FC Barcelona
2023 ~ 2025","182cm / 6'0""",76kg / 168lbs,Left,€20M
R. Le Normand CB,26,"Real Sociedad
2016 ~ 2026","187cm / 6'2""",81kg / 179lbs,Right,€35.5M
David García CB,29,"Osasuna
2013 ~ 2026","185cm / 6'1""",72kg / 159lbs,Right,€25.5M
B. White RB CB,25,"Arsenal
2021 ~ 2026","185cm / 6'1""",77kg / 170lbs,Right,€29.5M
Diego Carlos CB,30,"Aston Villa
2022 ~ 2026","186cm / 6'1""",79kg / 174lbs,Right,€21M
E. Álvarez CDM CB,25,"West Ham United
2023 ~ 2028","187cm / 6'2""",73kg / 161lbs,Right,€31M
L. Dunk CB,31,"Brighton & Hove Albion
2010 ~ 2026","192cm / 6'4""",88kg / 194lbs,Right,€17.5M
Danilo Pereira CB CDM,31,"Paris Saint Germain
2020 ~ 2025","188cm / 6'2""",83kg / 183lbs,Right,€17.5M
P. Kimpembe CB,27,"Paris Saint Germain
2015 ~ 2026","189cm / 6'2""",80kg / 176lbs,Left,€27.5M
R. Andrich CDM CB,28,"Bayer 04 Leverkusen
2021 ~ 2026","186cm / 6'1""",85kg / 187lbs,Right,€22.5M
E. Tapsoba CB,24,"Bayer 04 Leverkusen
2020 ~ 2028","194cm / 6'4""",84kg / 185lbs,Right,€33M
Danilo CB RB,31,"Juventus
2019 ~ 2025","184cm / 6'0""",78kg / 172lbs,Right,€17.5M
S. Kjær CB,34,"Milan
2020 ~ 2024","190cm / 6'3""",86kg / 190lbs,Right,€8.5M
B. Cristante CDM CM CB,28,"Roma
2019 ~ 2027","186cm / 6'1""",80kg / 176lbs,Right,€22.5M
S. Savić CB,32,"Atlético Madrid
2015 ~ 2024","187cm / 6'2""",80kg / 176lbs,Right,€16.5M
Reinildo LB CB LWB,29,"Atlético Madrid
2022 ~ 2025","180cm / 5'11""",73kg / 161lbs,Left,€22.5M
Yeray CB,28,"Athletic Club
2014 ~ 2026","182cm / 6'0""",79kg / 174lbs,Right,€24.5M
E. Konsa CB RB,25,"Aston Villa
2019 ~ 2028","183cm / 6'0""",77kg / 170lbs,Right,€23.5M
J. Matip CB,31,"Liverpool
2016 ~ 2024","194cm / 6'4""",90kg / 198lbs,Right,€14.5M
J. Gomez CB RB LB,26,"Liverpool
2015 ~ 2027","188cm / 6'2""",77kg / 170lbs,Right,€24.5M
H. Maguire CB,30,"Manchester United
2019 ~ 2025","193cm / 6'4""",100kg / 220lbs,Right,€17.5M
M. van de Ven CB,22,"Tottenham Hotspur
2023 ~ 2029","193cm / 6'4""",81kg / 179lbs,Left,€31M
F. Medina CB,24,"Lens
2020 ~ 2026","184cm / 6'0""",77kg / 170lbs,Left,€27M
K. Danso CB,24,"Lens
2021 ~ 2027","190cm / 6'3""",85kg / 187lbs,Right,€27M
J. Todibo CB,23,"Nice
2021 ~ 2027","190cm / 6'3""",88kg / 194lbs,Right,€29M
M. Simakan CB RB,23,"RB Leipzig
2021 ~ 2027","187cm / 6'2""",82kg / 181lbs,Right,€29M
M. de Roon CDM CM CB,32,"Atalanta
2017 ~ 2024","185cm / 6'1""",76kg / 168lbs,Right,€14M
M. Darmian CB RWB RM,33,"Inter
2021 ~ 2024","183cm / 6'0""",70kg / 154lbs,Right,€10M
A. Rrahmani CB,29,"Napoli
2020 ~ 2027","192cm / 6'4""",83kg / 183lbs,Right,€17.5M
A. Witsel CB,34,"Atlético Madrid
2022 ~ 2024","186cm / 6'1""",81kg / 179lbs,Right,€7M
Vivian CB,23,"Athletic Club
2019 ~ 2026","183cm / 6'0""",83kg / 183lbs,Right,€27M
Aritz Elustondo CB RB,29,"Real Sociedad
2014 ~ 2024","180cm / 5'11""",71kg / 157lbs,Right,€19.5M
Zubeldia CB,26,"Real Sociedad
2015 ~ 2029","181cm / 5'11""",73kg / 161lbs,Right,€26M
N. Gudelj CB CDM,31,"Sevilla
2019 ~ 2026","187cm / 6'2""",79kg / 174lbs,Right,€14.5M
Raúl Albiol CB,37,"Villarreal
2019 ~ 2024","190cm / 6'3""",82kg / 181lbs,Right,€3.8M
Arnau Martínez RB CB RWB,20,"Girona
2020 ~ 2025","182cm / 6'0""",72kg / 159lbs,Right,€30.5M
J. Timber CB RB,22,"Arsenal
2023 ~ 2028","179cm / 5'10""",78kg / 172lbs,Right,€33M
T. Mings CB,30,"Aston Villa
2019 ~ 2026","196cm / 6'5""",77kg / 170lbs,Left,€14.5M
A. Disasi CB RB,25,"Chelsea
2023 ~ 2029","190cm / 6'3""",86kg / 190lbs,Right,€23M
Marc Cucurella LB CB RB,24,"Chelsea
2022 ~ 2028","173cm / 5'8""",66kg / 146lbs,Left,€23.5M
W. Fofana CB,22,"Chelsea
2022 ~ 2028","190cm / 6'3""",76kg / 168lbs,Right,€24.5M
J. Tarkowski CB,30,"Everton
2022 ~ 2026","188cm / 6'2""",81kg / 179lbs,Right,€14.5M
V. Lindelöf CB LB,28,"Manchester United
2017 ~ 2025","187cm / 6'2""",80kg / 176lbs,Right,€16.5M
K. Zouma CB,28,"West Ham United
2021 ~ 2025","190cm / 6'3""",95kg / 209lbs,Right,€16.5M
N. Aguerd CB,27,"West Ham United
2022 ~ 2027","190cm / 6'3""",76kg / 168lbs,Left,€18.5M
J. Andersen CB,27,"Crystal Palace
2021 ~ 2026","192cm / 6'4""",90kg / 198lbs,Right,€18.5M
E. Pinnock CB,30,"Brentford
2019 ~ 2027","194cm / 6'4""",79kg / 174lbs,Left,€14.5M
D. Zakaria CDM CM CB,26,"Monaco
2023 ~ 2028","190cm / 6'3""",81kg / 179lbs,Right,€20.5M
Dante CB,39,"Nice
2016 ~ 2024","188cm / 6'2""",89kg / 196lbs,Left,€3.1M
N. Mukiele RB RWB CB,25,"Paris Saint Germain
2022 ~ 2027","187cm / 6'2""",84kg / 185lbs,Right,€20M
C. Mbemba CB,28,"Olympique de Marseille
2022 ~ 2025","182cm / 6'0""",81kg / 179lbs,Right,€16.5M
P. Lienhart CB,26,"SC Freiburg
2018 ~ 2026","189cm / 6'2""",83kg / 183lbs,Right,€18M
O. Kossounou CB,22,"Bayer 04 Leverkusen
2021 ~ 2026","191cm / 6'3""",82kg / 181lbs,Right,€33M
P. Hincapié CB,21,"Bayer 04 Leverkusen
2021 ~ 2027","183cm / 6'0""",77kg / 170lbs,Left,€33M
L. Klostermann CB RB,27,"RB Leipzig
2014 ~ 2028","189cm / 6'2""",88kg / 194lbs,Right,€17.5M
Rafael Tolói CB,32,"Atalanta
2015 ~ 2025","185cm / 6'1""",75kg / 165lbs,Right,€11.5M
N. Casale CB,25,"Lazio
2022 ~ 2027","191cm / 6'3""",80kg / 176lbs,Right,€20.5M
P. Schuurs CB,23,"Torino
2022 ~ 2026","191cm / 6'3""",85kg / 187lbs,Right,€24M
A. Buongiorno CB,24,"Torino
2018 ~ 2028","190cm / 6'3""",86kg / 190lbs,Left,€25M
N. Milenković CB,25,"Fiorentina
2017 ~ 2027","195cm / 6'5""",90kg / 198lbs,Right,€20.5M
Azpilicueta CB RB,33,"Atlético Madrid
2023 ~ 2024","178cm / 5'10""",77kg / 170lbs,Right,€8.5M
R. Tapia CDM CM CB,27,"Celta de Vigo
2020 ~ 2024","185cm / 6'1""",80kg / 176lbs,Right,€16.5M
Catena CB,28,"Osasuna
2023 ~ 2028","194cm / 6'4""",82kg / 181lbs,Right,€16.5M
David López CB CDM,33,"Girona
2022 ~ 2026","183cm / 6'0""",81kg / 179lbs,Right,€8.5M
B. Badiashile CB,22,"Chelsea
2023 ~ 2030","194cm / 6'4""",75kg / 165lbs,Left,€26.5M
D. Burn CB LB,31,"Newcastle United
2022 ~ 2025","198cm / 6'6""",87kg / 192lbs,Left,€9.5M
Felipe CB,34,"Nottingham Forest
2023 ~ 2024","190cm / 6'3""",84kg / 185lbs,Right,€4.6M
Emerson Royal RB CB,24,"Tottenham Hotspur
2021 ~ 2026","181cm / 5'11""",79kg / 174lbs,Right,€17M
K. Mavropanos CB RB,25,"West Ham United
2023 ~ 2028","194cm / 6'4""",89kg / 196lbs,Right,€17.5M
M. Guéhi CB,22,"Crystal Palace
2021 ~ 2026","182cm / 6'0""",82kg / 181lbs,Right,€20.5M
A. Webster CB,28,"Brighton & Hove Albion
2019 ~ 2026","191cm / 6'3""",75kg / 165lbs,Right,€12M
J. Veltman RB CB,31,"Brighton & Hove Albion
2020 ~ 2025","184cm / 6'0""",75kg / 165lbs,Right,€10M
B. Mee CB,33,"Brentford
2022 ~ 2024","180cm / 5'11""",82kg / 181lbs,Left,€6.5M
J. Gradit CB,30,"Lens
2019 ~ 2026","180cm / 5'11""",75kg / 165lbs,Right,€11.5M
S. Gigot CB,29,"Olympique de Marseille
2022 ~ 2025","187cm / 6'2""",83kg / 183lbs,Right,€12M
R. Bensebaini LB CB,28,"Borussia Dortmund
2023 ~ 2027","187cm / 6'2""",82kg / 181lbs,Left,€12.5M
W. Anton CB,26,"VfB Stuttgart
2020 ~ 2027","189cm / 6'2""",86kg / 190lbs,Right,€14.5M
R. Koch CB CDM,26,"Eintracht Frankfurt
Jun 30, 2024 On loan","191cm / 6'3""",85kg / 187lbs,Right,€15.5M
D. Doekhi CB,25,"FC Union Berlin
2022 ~ 2026","190cm / 6'3""",86kg / 190lbs,Right,€15.5M
C. Lukeba CB,20,"RB Leipzig
2023 ~ 2028","184cm / 6'0""",73kg / 161lbs,Left,€26M
S. Kolašinac CB LB,30,"Atalanta
2023 ~ 2025","183cm / 6'0""",85kg / 187lbs,Left,€11.5M
B. Djimsiti CB,30,"Atalanta
2016 ~ 2026","190cm / 6'3""",83kg / 183lbs,Right,€11.5M
F. Gatti CB,25,"Juventus
2022 ~ 2027","190cm / 6'3""",80kg / 176lbs,Right,€17.5M
P. Kalulu CB RB,23,"Milan
2020 ~ 2027","184cm / 6'0""",82kg / 181lbs,Right,€26M
Diego Llorente CB,29,"Roma
Jun 30, 2024 On loan","186cm / 6'1""",76kg / 168lbs,Right,€12M
E. Ndicka CB,23,"Roma
2023 ~ 2028","192cm / 6'4""",82kg / 181lbs,Left,€19M
K. Manolas CB,32,"Salernitana
2024 ~ 2024","189cm / 6'2""",83kg / 183lbs,Right,€9M
Marcos Alonso LB CB,32,"FC Barcelona
2022 ~ 2024","188cm / 6'2""",84kg / 185lbs,Left,€9.5M
Marc Bartra CB,32,"Real Betis
2023 ~ 2024","184cm / 6'0""",73kg / 161lbs,Right,€9M
J. Aidoo CB,27,"Celta de Vigo
2019 ~ 2026","181cm / 5'11""",80kg / 176lbs,Right,€15M
Marcão CB,27,"Sevilla
2022 ~ 2027","185cm / 6'1""",80kg / 176lbs,Left,€16M
D. Blind CB LB CDM,33,"Girona
2023 ~ 2025","180cm / 5'11""",72kg / 159lbs,Left,€6.5M
M. Niakhaté CB,27,"Nottingham Forest
2022 ~ 2025","190cm / 6'3""",85kg / 187lbs,Left,€11M
B. Davies CB LB,30,"Tottenham Hotspur
2014 ~ 2025","181cm / 5'11""",76kg / 168lbs,Left,€8.5M
C. Dawson CB,33,"Wolverhampton Wanderers
2023 ~ 2025","188cm / 6'2""",77kg / 170lbs,Right,€5M
S. Bueno CB,24,"Wolverhampton Wanderers
2023 ~ 2028","190cm / 6'3""",76kg / 168lbs,Right,€14.5M
M. Kilman CB,26,"Wolverhampton Wanderers
2018 ~ 2028","194cm / 6'4""",89kg / 196lbs,Left,€13M
I. Diop CB,26,"Fulham
2022 ~ 2027","194cm / 6'4""",92kg / 203lbs,Right,€11.5M
S. Umtiti CB,29,"LOSC Lille
2023 ~ 2025","182cm / 6'0""",75kg / 165lbs,Left,€9M
G. Maripán CB,29,"Monaco
2019 ~ 2024","190cm / 6'3""",83kg / 183lbs,Right,€9.5M
W. Singo CB RWB,22,"Monaco
2023 ~ 2028","190cm / 6'3""",79kg / 174lbs,Right,€20M
A. Theate CB,23,"Rennes
2022 ~ 2027","185cm / 6'1""",78kg / 172lbs,Left,€13.5M
Y. Abdelhamid CB,35,"Stade de Reims 
2017 ~ 2024","190cm / 6'3""",83kg / 183lbs,Left,€2.8M
E. Dier CB,29,"FC Bayern München
2024 ~ 2025","188cm / 6'2""",90kg / 198lbs,Right,€9M
N. Elvedi CB,26,"Borussia Mönchengladbach
2015 ~ 2027","189cm / 6'2""",84kg / 185lbs,Right,€11M
M. Wöber CB LWB,25,"Borussia Mönchengladbach
Jun 30, 2024 On loan","188cm / 6'2""",85kg / 187lbs,Left,€12.5M
K. Itakura CB CDM,26,"Borussia Mönchengladbach
2022 ~ 2026","188cm / 6'2""",80kg / 176lbs,Right,€12M
D. Zagadou CB,24,"VfB Stuttgart
2022 ~ 2026","196cm / 6'5""",90kg / 198lbs,Left,€12M
W. Pacho CB,21,"Eintracht Frankfurt
2023 ~ 2028","186cm / 6'1""",81kg / 179lbs,Left,€20M
Alex Sandro CB LB,32,"Juventus
2015 ~ 2024","180cm / 5'11""",80kg / 176lbs,Left,€7M
M. Thiaw CB,21,"Milan
2022 ~ 2027","191cm / 6'3""",80kg / 176lbs,Right,€22M
L. Martínez Quarta CB,27,"Fiorentina
2020 ~ 2025","183cm / 6'0""",78kg / 172lbs,Right,€12M
Gabriel Paulista CB,32,"Atlético Madrid
2024 ~ 2024","185cm / 6'1""",72kg / 159lbs,Right,€7M
G. Pezzella CB,32,"Real Betis
2021 ~ 2025","187cm / 6'2""",82kg / 181lbs,Right,€7M
Unai Núñez CB,26,"Celta de Vigo
Jun 30, 2024 On loan","186cm / 6'1""",81kg / 179lbs,Right,€12M
M. Valjent CB,27,"Mallorca
2019 ~ 2025","187cm / 6'2""",70kg / 154lbs,Right,€11M
F. Lejeune CB,32,"Rayo Vallecano
2023 ~ 2027","189cm / 6'2""",89kg / 196lbs,Right,€7M
L. Badé CB,23,"Sevilla
2023 ~ 2027","191cm / 6'3""",89kg / 196lbs,Right,€19.5M
D. Djené CB CM CDM,31,"Getafe
2017 ~ 2025","178cm / 5'10""",72kg / 159lbs,Right,€7M
O. Alderete CB,26,"Getafe
2023 ~ 2028","188cm / 6'2""",77kg / 170lbs,Left,€12M
C. Montes CB,26,"Almería
2023 ~ 2028","191cm / 6'3""",84kg / 185lbs,Right,€12M
Edgar CB CDM,26,"Almería
2023 ~ 2028","193cm / 6'4""",78kg / 172lbs,Right,€12M
Eric García CB CDM RB,22,"Girona
Jun 30, 2024 On loan","182cm / 6'0""",76kg / 168lbs,Right,€14.5M
C. Lenglet CB,28,"Aston Villa
Jun 30, 2024 On loan","186cm / 6'1""",81kg / 179lbs,Left,€6.5M
T. Chalobah CB RB,23,"Chelsea
2016 ~ 2026","191cm / 6'3""",84kg / 185lbs,Right,€9.5M
M. Keane CB,30,"Everton
2017 ~ 2025","191cm / 6'3""",82kg / 181lbs,Right,€6M
J. Branthwaite CB,21,"Everton
2020 ~ 2025","195cm / 6'5""",74kg / 163lbs,Left,€15.5M
J. Lascelles CB,29,"Newcastle United
2014 ~ 2024","188cm / 6'2""",83kg / 183lbs,Right,€6.5M
W. Boly CB,32,"Nottingham Forest
2022 ~ 2024","195cm / 6'5""",97kg / 214lbs,Right,€4.9M
A. Ogbonna CB,35,"West Ham United
2015 ~ 2024","191cm / 6'3""",86kg / 190lbs,Left,€2M
Toti Gomes CB LB,24,"Wolverhampton Wanderers
2020 ~ 2029","187cm / 6'2""",72kg / 159lbs,Left,€11M
T. Adarabioyo CB,25,"Fulham
2020 ~ 2024","196cm / 6'5""",80kg / 176lbs,Right,€10M
Igor CB,25,"Brighton & Hove Albion
2023 ~ 2028","185cm / 6'1""",84kg / 185lbs,Left,€10M
K. Ajer CB RB,25,"Brentford
2021 ~ 2028","196cm / 6'5""",84kg / 185lbs,Right,€10M
M. Senesi CB,26,"AFC Bournemouth
2022 ~ 2026","183cm / 6'0""",78kg / 172lbs,Left,€8M
M. Haïdara LWB LM CB,30,"Lens
2018 ~ 2025","179cm / 5'10""",76kg / 168lbs,Left,€6.5M
B. Diakité RB CB,22,"LOSC Lille
2022 ~ 2026","185cm / 6'1""",74kg / 163lbs,Right,€11.5M
L. Yoro CB,17,"LOSC Lille
2022 ~ 2025","190cm / 6'3""",75kg / 165lbs,Right,€14.5M
D. Lovren CB,33,"Olympique Lyonnais
2023 ~ 2025","188cm / 6'2""",84kg / 185lbs,Right,€3.6M
Clinton Mata RB CB,30,"Olympique Lyonnais
2023 ~ 2026","180cm / 5'11""",73kg / 161lbs,Right,€6.5M
Adryelson CB,25,"Olympique Lyonnais
2024 ~ 2028","184cm / 6'0""",76kg / 168lbs,Right,€10.5M
T. Kehrer CB RB,26,"Monaco
Jun 30, 2024 On loan","186cm / 6'1""",76kg / 168lbs,Right,€8M
M. Salisu CB,24,"Monaco
2023 ~ 2028","191cm / 6'3""",85kg / 187lbs,Left,€10M
Y. Ndayishimiye CDM CM CB,24,"Nice
2023 ~ 2027","183cm / 6'0""",79kg / 174lbs,Right,€10.5M
L. Balerdi CB,24,"Olympique de Marseille
2021 ~ 2026","187cm / 6'2""",85kg / 187lbs,Right,€10M
R. Nicolaisen CB,26,"Toulouse
2021 ~ 2025","191cm / 6'3""",81kg / 179lbs,Left,€8.5M
T. Hübers CB,26,"FC Köln
2021 ~ 2026","190cm / 6'3""",82kg / 181lbs,Right,€8M
J. Chabot CB,25,"FC Köln
2023 ~ 2026","195cm / 6'5""",85kg / 187lbs,Left,€9.5M
J. Stanišić RB CB,23,"Bayer 04 Leverkusen
Jun 30, 2024 On loan","187cm / 6'2""",77kg / 170lbs,Right,€10.5M
H. Ito CB LB,24,"VfB Stuttgart
2022 ~ 2027","188cm / 6'2""",84kg / 185lbs,Left,€9.5M
D. Kohr CDM CM CB,29,"FSV Mainz 05
2022 ~ 2026","183cm / 6'0""",80kg / 176lbs,Right,€6.5M
S. Widmer RWB RM CB,30,"FSV Mainz 05
2021 ~ 2026","183cm / 6'0""",80kg / 176lbs,Right,€6.5M
M. Lacroix CB,23,"VfL Wolfsburg
2020 ~ 2025","190cm / 6'3""",88kg / 194lbs,Right,€15.5M
Tuta CB,23,"Eintracht Frankfurt
2019 ~ 2026","185cm / 6'1""",81kg / 179lbs,Right,€9.5M
K. Vogt CB,31,"FC Union Berlin
2024 ~ 2026","194cm / 6'4""",87kg / 192lbs,Right,€5M
R. Knoche CB,31,"FC Union Berlin
2020 ~ 2024","190cm / 6'3""",77kg / 170lbs,Right,€5M
R. Khedira CDM CB,29,"FC Union Berlin
2021 ~ 2027","189cm / 6'2""",86kg / 190lbs,Right,€6.5M
Diogo Leite CB,24,"FC Union Berlin
2023 ~ 2026","188cm / 6'2""",83kg / 183lbs,Left,€9.5M
J. Brooks CB,30,"TSG Hoffenheim
2023 ~ 2024","194cm / 6'4""",94kg / 207lbs,Left,€6M
